"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1836,5,3,"Science Fiction",294,9
1258,4,5,"Mystery",536,23
1969,5,2,"Science Fiction",378,8
1791,4,5,"Mystery",373,7
1328,4,1,"Mystery",498,19
1671,4,1,"Mystery",417,11
1749,4,1,"Science Fiction",371,11
1586,3,0,"Mystery",411,11
1118,5,2,"Mystery",596,29
1966,6,4,"Romance",330,7
1496,4,2,"Mystery",380,15
1710,5,2,"Mystery",377,11
1469,2,7,"Mystery",487,15
1829,5,4,"Science Fiction",277,7
1803,5,3,"Romance",369,10
1978,5,1,"Science Fiction",318,7
1621,3,4,"Mystery",407,12
1453,3,4,"Science Fiction",208,14
1782,5,3,"Romance",285,10
1780,5,3,"Mystery",364,10
1652,3,3,"Science Fiction",318,10
1402,3,2,"Mystery",205,17
1639,4,5,"Science Fiction",259,10
1791,5,5,"Science Fiction",277,9
1577,2,7,"Science Fiction",411,11
1860,5,2,"Mystery",267,10
1759,4,7,"Romance",353,9
1816,5,2,"Science Fiction",387,10
1524,4,4,"Mystery",451,14
1523,2,6,"Science Fiction",387,13
1633,4,1,"Mystery",404,10
1482,5,5,"Mystery",183,14
1637,4,3,"Science Fiction",286,11
1887,6,2,"Science Fiction",340,9
1798,5,4,"Science Fiction",389,10
1555,4,4,"Science Fiction",195,13
1514,3,4,"Science Fiction",340,13
1358,1,1,"Mystery",429,18
1564,6,2,"Mystery",154,13
1525,5,3,"Romance",233,13
1850,6,3,"Science Fiction",321,10
1336,4,4,"Mystery",175,19
1804,5,2,"Science Fiction",297,9
1851,6,7,"Mystery",474,7
1487,3,1,"Science Fiction",297,14
1582,6,3,"Mystery",165,11
2211,7,4,"Science Fiction",390,6
1782,5,5,"Science Fiction",386,9
1657,4,5,"Science Fiction",455,13
1685,3,4,"Mystery",295,9
1157,4,0,"Science Fiction",605,27
1967,5,4,"Romance",421,7
1777,4,2,"Science Fiction",238,8
2017,6,3,"Mystery",387,7
1171,0,2,"Science Fiction",468,27
1469,4,5,"Mystery",196,14
1656,3,4,"Mystery",331,11
1565,3,2,"Mystery",373,14
1967,6,4,"Mystery",291,7
1625,3,2,"Romance",246,12
1870,6,4,"Science Fiction",452,8
1757,4,1,"Science Fiction",382,9
2001,6,3,"Science Fiction",416,8
1822,5,3,"Science Fiction",284,7
1301,4,3,"Romance",566,19
1524,4,4,"Science Fiction",463,14
1723,6,2,"Science Fiction",258,10
1587,8,3,"Romance",593,13
1624,4,2,"Science Fiction",368,15
1868,6,6,"Mystery",396,10
1461,3,7,"Mystery",515,16
1741,5,1,"Science Fiction",440,9
1749,3,7,"Romance",360,11
2172,9,4,"Science Fiction",340,5
1571,5,4,"Science Fiction",398,13
1673,3,2,"Science Fiction",330,12
1458,3,6,"Mystery",329,16
1914,4,5,"Mystery",267,8
1490,4,1,"Science Fiction",467,14
1364,2,0,"Mystery",420,19
1985,5,3,"Science Fiction",301,7
1949,6,6,"Mystery",409,9
1649,8,3,"Mystery",156,11
1791,5,2,"Science Fiction",342,9
971,3,2,"Romance",90,46
1553,4,1,"Science Fiction",433,13
1246,2,4,"Mystery",452,22
1503,3,2,"Science Fiction",446,15
2024,6,1,"Science Fiction",488,7
1923,6,4,"Romance",431,9
1774,5,2,"Science Fiction",327,9
1875,5,5,"Science Fiction",398,8
1582,3,8,"Mystery",298,12
2143,7,2,"Mystery",396,5
1589,3,2,"Romance",375,14
1775,5,3,"Science Fiction",337,9
1572,4,3,"Science Fiction",449,12
1851,5,0,"Science Fiction",333,7
1959,6,4,"Science Fiction",364,9
1880,5,2,"Science Fiction",353,8
1579,4,6,"Mystery",250,13
1732,4,2,"Science Fiction",318,10
1582,5,2,"Romance",498,11
1987,6,8,"Romance",306,7
1776,4,4,"Romance",456,9
1659,3,1,"Mystery",303,12
1933,6,1,"Science Fiction",229,7
1638,5,3,"Science Fiction",305,10
1485,2,5,"Science Fiction",471,15
1779,6,1,"Science Fiction",408,10
1597,4,3,"Science Fiction",317,12
1660,6,2,"Science Fiction",218,10
2013,7,1,"Science Fiction",430,5
1717,5,2,"Science Fiction",230,10
1758,4,3,"Science Fiction",356,11
1303,4,2,"Mystery",559,18
1500,4,2,"Science Fiction",232,15
