"participant","minutes","n_previous_marathons","age","gender","hills","weather"
504,325,3,47,"Male",11,"Sunny"
25,318,8,30,"Female",4,"Sunny"
587,332,5,25,"Female",10,"Sunny"
280,355,8,35,"Female",13,"Cloudy"
39,306,6,44,"Male",11,"Sunny"
446,209,8,13,"Male",15,"Light Rain"
385,262,7,25,"Male",13,"Sunny"
52,198,6,15,"Male",13,"Cloudy"
142,403,6,40,"Female",12,"Cloudy"
128,260,4,35,"Female",13,"Sunny"
449,390,6,59,"Female",13,"Sunny"
171,374,8,55,"Female",10,"Cloudy"
34,403,9,50,"Female",7,"Sunny"
379,390,6,26,"Female",15,"Sunny"
117,313,7,34,"Female",8,"Light Rain"
563,229,9,21,"Other",7,"Cloudy"
176,242,8,37,"Male",11,"Sunny"
203,384,8,45,"Female",7,"Sunny"
244,271,8,23,"Male",12,"Cloudy"
144,296,5,33,"Male",21,"Sunny"
414,292,7,34,"Female",9,"Sunny"
56,463,5,38,"Female",13,"Sunny"
129,406,4,51,"Female",9,"Sunny"
518,255,9,47,"Male",5,"Cloudy"
57,345,4,39,"Male",12,"Sunny"
151,336,10,49,"Female",8,"Light Rain"
420,451,2,39,"Female",6,"Cloudy"
391,156,13,34,"Male",8,"Sunny"
545,313,9,41,"Female",10,"Cloudy"
398,428,4,34,"Female",11,"Cloudy"
2,159,9,27,"Male",7,"Light Rain"
592,423,3,41,"Female",2,"Light Rain"
377,285,9,24,"Female",9,"Sunny"
525,322,7,32,"Female",8,"Cloudy"
149,283,5,14,"Male",9,"Light Rain"
588,241,8,29,"Male",7,"Sunny"
216,285,8,28,"Female",12,"Light Rain"
363,433,10,55,"Male",12,"Sunny"
362,349,5,49,"Female",8,"Sunny"
459,360,4,15,"Female",7,"Sunny"
177,357,6,52,"Female",9,"Cloudy"
292,455,4,40,"Female",7,"Cloudy"
580,358,7,34,"Other",7,"Cloudy"
411,362,6,46,"Female",9,"Cloudy"
304,243,9,20,"Male",15,"Cloudy"
339,427,8,41,"Male",4,"Cloudy"
421,369,7,25,"Female",10,"Cloudy"
49,322,5,25,"Male",-999,"Cloudy"
365,308,6,13,"Female",6,"Cloudy"
283,236,6,23,"Male",5,"Sunny"
468,270,8,33,"Male",7,"Cloudy"
325,339,4,26,"Male",3,"Sunny"
24,194,14,42,"Male",7,"Light Rain"
99,240,7,22,"Female",11,"Sunny"
340,211,13,30,"Female",13,"Sunny"
67,363,9,39,"Female",8,"Cloudy"
542,464,4,62,"Female",11,"Sunny"
479,370,5,40,"Female",10,"Sunny"
121,392,8,53,"Male",10,"Cloudy"
444,359,4,42,"Male",8,"Cloudy"
130,296,8,21,"Male",9,"Cloudy"
527,292,11,31,"Female",9,"Sunny"
354,377,4,20,"Female",14,"Sunny"
538,354,9,27,"Male",14,"Cloudy"
524,332,3,43,"Male",8,"Sunny"
423,309,7,41,"Male",10,"Cloudy"
18,319,3,22,"Female",12,"Sunny"
450,416,8,39,"Female",12,"Cloudy"
115,259,8,31,"Male",9,"Cloudy"
425,260,10,35,"Male",8,"Cloudy"
323,420,4,43,"Female",15,"Light Rain"
296,211,9,23,"Male",11,"Sunny"
126,93,13,30,"Female",11,"Sunny"
333,324,9,40,"Female",10,"Cloudy"
375,332,7,36,"Male",7,"Cloudy"
338,332,8,46,"Male",4,"Cloudy"
510,373,6,33,"Female",13,"Sunny"
552,345,5,34,"Male",14,"Cloudy"
192,347,6,49,"Female",9,"Sunny"
305,327,8,43,"Male",11,"Sunny"
299,474,4,47,"Female",10,"Light Rain"
46,369,4,17,"Female",10,"Sunny"
431,321,12,52,"Male",6,"Sunny"
428,305,6,37,"Female",4,"Cloudy"
376,152,12,15,"Female",3,"Sunny"
511,284,7,10,"Female",10,"Sunny"
557,275,8,20,"Female",8,"Sunny"
401,161,13,28,"Male",13,"Cloudy"
574,431,6,44,"Female",12,"Sunny"
256,261,9,20,"Female",14,"Cloudy"
61,299,8,33,"Female",9,"Cloudy"
383,365,6,28,"Female",-999,"Sunny"
163,292,8,40,"Other",6,"Cloudy"
146,387,5,37,"Male",6,"Light Rain"
248,312,12,41,"Female",11,"Cloudy"
457,268,9,45,"Male",5,"Cloudy"
328,351,3,24,"Female",8,"Sunny"
205,283,6,20,"Female",10,"Cloudy"
254,365,5,37,"Female",13,"Cloudy"
532,340,8,29,"Female",6,"Sunny"
530,317,6,21,"Female",11,"Light Rain"
311,309,6,31,"Male",6,"Light Rain"
415,398,5,49,"Female",7,"Sunny"
164,377,6,31,"Female",9,"Cloudy"
281,401,9,32,"Female",11,"Cloudy"
306,293,7,33,"Male",7,"Cloudy"
186,328,7,43,"Female",9,"Cloudy"
17,300,5,34,"Male",11,"Cloudy"
433,310,6,16,"Female",16,"Sunny"
348,298,6,32,"Female",4,"Cloudy"
337,287,8,34,"Female",8,"Light Rain"
293,485,3,43,"Female",10,"Cloudy"
598,253,6,31,"Female",10,"Sunny"
317,238,10,30,"Male",7,"Sunny"
11,266,12,48,"Female",10,"Cloudy"
22,365,8,47,"Female",7,"Sunny"
442,307,7,45,"Male",10,"Light Rain"
361,401,4,44,"Other",8,"Sunny"
508,394,7,57,"Male",9,"Cloudy"
465,360,7,39,"Male",13,"Sunny"
77,372,6,25,"Female",14,"Sunny"
429,356,4,28,"Male",10,"Cloudy"
44,322,6,36,"Male",7,"Sunny"
402,220,4,20,"Male",10,"Sunny"
448,365,4,30,"Male",7,"Cloudy"
501,345,6,39,"Female",7,"Sunny"
288,370,5,27,"Male",9,"Cloudy"
71,445,9,59,"Female",10,"Light Rain"
484,274,8,23,"Female",12,"Sunny"
460,373,4,33,"Male",7,"Sunny"
331,379,8,28,"Female",14,"Cloudy"
343,284,7,37,"Female",13,"Cloudy"
371,325,6,30,"Female",12,"Cloudy"
314,385,3,35,"Female",7,"Cloudy"
206,304,10,34,"Male",14,"Cloudy"
440,325,4,45,"Male",9,"Cloudy"
358,364,6,40,"Male",17,"Cloudy"
320,209,10,50,"Male",7,"Light Rain"
581,301,10,40,"Female",11,"Sunny"
326,345,3,44,"Female",8,"Sunny"
96,314,5,50,"Other",4,"Sunny"
578,537,2,53,"Female",13,"Light Rain"
526,310,8,29,"Female",12,"Cloudy"
540,412,5,38,"Male",9,"Heavy Rain"
409,316,6,37,"Female",10,"Light Rain"
452,350,6,34,"Male",5,"Sunny"
432,318,7,44,"Male",7,"Sunny"
173,230,10,22,"Female",11,"Cloudy"
212,386,5,37,"Female",12,"Cloudy"
349,305,5,42,"Male",10,"Sunny"
255,300,7,52,"Male",11,"Sunny"
455,401,5,33,"Female",6,"Cloudy"
109,324,6,30,"Male",8,"Sunny"
13,220,8,18,"Male",12,"Sunny"
515,329,9,38,"Male",15,"Cloudy"
342,379,4,38,"Female",12,"Cloudy"
