"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",2,"Medium",3,670,451
"HP",2,"Large",3,977,518
"HP",5,"Medium",0,1069,774
"MSI",3,"Medium",2,986,642
"HP",4,"Small",1,906,610
"HP",2,"Medium",4,1011,410
"MSI",1,"Medium",3,764,504
"MSI",3,"Small",0,1128,804
"HP",1,"Medium",2,883,569
"HP",1,"Medium",0,962,766
"HP",3,"Medium",3,934,466
"MSI",0,"Medium",3,1274,644
"MSI",1,"Medium",1,1457,865
"HP",3,"Medium",1,911,724
"HP",2,"Medium",3,1110,521
"MSI",0,"Medium",2,1077,658
"MSI",3,"Large",2,908,663
"HP",3,"Medium",2,904,552
"HP",4,"Large",4,763,387
"MSI",4,"Medium",2,986,646
"HP",1,"Medium",5,1066,319
"MSI",2,"Medium",2,1154,738
"MSI",0,"Medium",2,1170,610
"MSI",2,"Medium",0,843,860
"MSI",2,"Medium",2,884,612
"HP",1,"Small",4,1019,349
"HP",4,"Medium",0,1089,831
"MSI",2,"Medium",2,1015,726
"HP",1,"Small",5,630,69
"MSI",1,"Large",1,993,882
"MSI",2,"Large",2,1161,746
"HP",2,"Large",1,1117,746
"HP",1,"Large",2,1060,659
"HP",1,"Medium",4,1085,431
"MSI",4,"Medium",4,850,461
"HP",1,"Medium",2,1208,726
"MSI",3,"Medium",3,1098,517
"HP",2,"Medium",0,928,742
"MSI",1,"Medium",4,1031,512
"HP",4,"Large",2,1391,722
"HP",2,"Small",0,922,684
"HP",1,"Large",2,613,532
"MSI",2,"Large",0,1130,912
"Apple",2,"Small",6,826,105
"MSI",0,"Medium",0,809,792
"MSI",1,"Large",6,1213,328
"HP",1,"Small",1,1296,737
"HP",2,"Medium",3,839,465
"HP",2,"Large",2,1021,649
"MSI",3,"Small",1,989,582
"HP",1,"Large",1,1130,810
"MSI",0,"Medium",2,1071,709
"Apple",2,"Small",2,900,532
"MSI",2,"Small",0,986,739
"MSI",2,"Medium",1,1370,865
"MSI",2,"Medium",4,809,392
"HP",1,"Medium",3,1230,566
"MSI",1,"Medium",6,792,178
"MSI",5,"Large",6,999,344
"MSI",2,"Medium",1,1194,855
"MSI",0,"Medium",1,770,679
"MSI",0,"Medium",2,748,647
"Apple",1,"Large",3,827,585
"MSI",4,"Large",3,756,550
"HP",2,"Large",2,1095,719
"HP",5,"Large",2,999,689
"MSI",1,"Medium",2,864,598
"HP",1,"Large",1,890,746
"MSI",2,"Medium",1,1237,770
"MSI",1,"Medium",4,1165,487
"MSI",4,"Medium",3,808,487
"MSI",2,"Medium",0,1228,876
"HP",0,"Large",3,1022,546
"MSI",0,"Large",3,1202,670
"HP",2,"Medium",1,884,647
"HP",4,"Small",3,1273,456
"HP",3,"Medium",2,885,592
"HP",2,"Medium",0,1355,875
"HP",3,"Medium",2,944,598
"HP",3,"Medium",0,1096,850
"MSI",2,"Medium",2,834,606
"HP",5,"Medium",0,1053,853
"HP",1,"Large",3,833,442
"MSI",2,"Medium",4,942,378
"HP",0,"Medium",0,1013,877
"HP",3,"Large",1,1146,776
"MSI",1,"Small",4,958,379
"MSI",3,"Medium",2,981,629
"HP",3,"Small",2,1350,559
"HP",2,"Large",2,766,576
"MSI",6,"Large",5,768,380
"MSI",3,"Large",0,1067,946
"HP",3,"Medium",5,1158,370
"HP",0,"Medium",3,986,504
"HP",0,"Large",2,936,657
"MSI",3,"Small",3,970,371
"HP",3,"Small",2,1041,522
"Apple",0,"Medium",2,1180,745
"HP",4,"Large",3,1097,512
"Apple",0,"Medium",3,912,539
"MSI",1,"Medium",0,782,812
"HP",1,"Medium",1,1144,762
"MSI",4,"Large",0,871,845
"HP",3,"Medium",0,796,772
"HP",2,"Small",1,960,617
"MSI",1,"Medium",4,686,382
"HP",3,"Large",2,958,629
"HP",3,"Large",0,1177,890
"MSI",2,"Medium",1,1211,848
"HP",4,"Medium",2,1381,690
"HP",3,"Medium",1,773,662
"HP",1,"Large",2,992,695
"HP",0,"Large",5,1566,473
"HP",3,"Medium",1,748,645
"MSI",2,"Large",6,1212,348
"HP",2,"Small",0,1380,819
"MSI",2,"Large",1,1023,812
"MSI",3,"Large",1,1025,818
"Apple",1,"Large",3,1637,840
"MSI",3,"Medium",4,754,399
"Apple",2,"Medium",0,1102,937
"MSI",4,"Medium",1,812,711
"MSI",2,"Medium",1,711,705
"HP",1,"Medium",3,1185,541
"HP",2,"Medium",3,1354,542
"MSI",1,"Large",1,966,822
"HP",2,"Medium",0,1413,872
"HP",2,"Large",1,973,746
"MSI",1,"Medium",2,1085,723
"HP",1,"Medium",2,990,611
"HP",5,"Large",1,796,737
"MSI",3,"Medium",2,1116,701
"MSI",5,"Medium",1,846,745
"MSI",2,"Small",2,800,536
"MSI",0,"Medium",3,1296,618
"MSI",0,"Medium",1,987,763
"HP",2,"Medium",4,851,338
"Apple",0,"Large",3,1110,672
"HP",0,"Medium",4,860,409
"HP",1,"Medium",3,1126,592
"HP",0,"Large",2,1077,639
"Apple",4,"Large",3,606,559
"HP",2,"Small",4,843,261
"HP",0,"Large",1,1269,839
"HP",3,"Large",2,977,594
"MSI",1,"Large",1,903,779
"HP",5,"Medium",0,1130,849
"HP",2,"Large",0,1234,939
"HP",2,"Medium",0,1046,806
"HP",0,"Medium",1,1082,695
"MSI",3,"Medium",2,1168,644
"HP",1,"Large",1,1145,826
"Apple",2,"Medium",0,1079,886
"Apple",2,"Medium",2,1559,861
"MSI",1,"Medium",0,967,832
"HP",4,"Medium",1,909,606
"HP",2,"Large",0,1103,887
"HP",1,"Medium",2,948,626
"HP",0,"Large",2,846,610
"HP",0,"Medium",1,760,659
"MSI",2,"Medium",1,1107,822
